"","score","text"
"43",1,"https://t.co/wPXh7c1huw #BiharPolls | #India has a right to ask for my report card in 2019, where's #Nitish, #Lalu's report?: PM narendram…"
"44",0,"RT @EconomicTimes: #Lalu-#Nitish ruled for 25 years, what did they give #Bihar?: PM #Modi at  #Darbhanga https://t.co/dHrQ4AduYr"
"45",0,"RT @EconomicTimes: #Lalu-#Nitish ruled for 25 years, what did they give #Bihar?: PM #Modi at  #Darbhanga https://t.co/dHrQ4AduYr"
"46",1,"#BiharPolls | #India has a right to ask for my report card in 2019, where's #Nitish, #Lalu's report?: PM @narendramodi"
"47",0,"#Lalu-#Nitish ruled for 25 years, what did they give #Bihar?: PM #Modi at  #Darbhanga https://t.co/DT9JYspFCE https://t.co/gufjBrNdNa"
"48",0,"RT @EconomicTimes: #Lalu-#Nitish ruled for 25 years, what did they give #Bihar?: PM #Modi at  #Darbhanga https://t.co/dHrQ4AduYr"
"49",0,"RT @EconomicTimes: #Lalu-#Nitish ruled for 25 years, what did they give #Bihar?: PM #Modi at  #Darbhanga https://t.co/dHrQ4AduYr"
"50",0,"#Lalu-#Nitish ruled for 25 years, what did they give #Bihar?: PM #Modi at  #Darbhanga https://t.co/dHrQ4AduYr"
"51",0,"#Lalu, #Nitish sought religion quotas in 2005, says PM #NarendraModi 
https://t.co/OLz3j2l1ED"
"52",0,"#Nitish-Lalu together sought religion-based quotas in 2005: #Modi
https://t.co/wGz3Gry9r3"
"53",0,"PM #Modi lashes out at #Lalu, #Nitish; lauds women for fighting against Jungle Raj - https://t.co/r6k31XM54t"
"54",3,"Victory, Defeat in #BiharPolls #PM -Stronger, lil weakened moves on.. #Nitish - defacto Mr. Bihar, over &amp; out #Lalu - Kingmaker, history"
"55",0,"RT @EconomicTimes: #Nitish-#Lalu together sought religion-based quotas in 2005: PM #Modi https://t.co/Tb1oJgI0mI https://t.co/jPWqVOhVHD"
"56",0,"RT @EconomicTimes: #Nitish-#Lalu together sought religion-based quotas in 2005: PM #Modi https://t.co/Tb1oJgI0mI https://t.co/jPWqVOhVHD"
