"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @vgambala2: #NiKu का इडियट
#Lalu का बृहमपिशाच
#MisaBharti का गुुंडा
#NaMo CONTINUES TO DRAW LARGE CROWDS
https://t.co/pxMV6HnGQQ https:/…",FALSE,0,NA,2015-10-28 07:25:54,FALSE,NA,"659269843565219840",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kailashkaushik8",4,TRUE,FALSE,NA,NA
"RT @NewsX: #Lalu, #Rabri cast their ballot @laluprasadrjd 
https://t.co/3NjuoY50WQ https://t.co/7nHMVyJTAM",FALSE,0,NA,2015-10-28 07:17:02,FALSE,NA,"659267616289198080",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sachinsingh1010",3,TRUE,FALSE,NA,NA
"वोट डालकर बोले लालू, मोदी को PM की कुर्सी पर बैठने का हक नहीं
https://t.co/0OxLqIsZL6  #Modi #BiharPolls #BiharBattle #lalu",FALSE,0,NA,2015-10-28 07:08:33,FALSE,NA,"659265478012071936",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Inkhabar",0,FALSE,FALSE,NA,NA
"#BiharPolls : जानिए तीसरे चरण की VIP सीट्स का हाल
https://t.co/N6JibkGcYU   #BiharBattle #ThirdPhase #Modi #JDU #RJD #BJP #lalu #NitishKumar",FALSE,0,NA,2015-10-28 07:01:19,FALSE,NA,"659263658548137984",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Inkhabar",0,FALSE,FALSE,NA,NA
"#BiharPolls : जानिए तीसरे चरण के चुनाव का गणित
https://t.co/Z6uMAUrCPU   #BiharBattle #ThirdPhase #Modi #JDU #RJD #BJP #lalu #NitishKumar",FALSE,0,NA,2015-10-28 07:00:27,FALSE,NA,"659263441404866560",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Inkhabar",0,FALSE,FALSE,NA,NA
"#BiharElection2015 : #NitishKumar, #Lalu, #Modi and return of the old #political narrative https://t.co/JnmkPMrXn8",FALSE,1,NA,2015-10-28 06:58:54,FALSE,NA,"659263048943730688",NA,"<a href=""http://www.linkedin.com/"" rel=""nofollow"">LinkedIn</a>","pratimbose",0,FALSE,FALSE,NA,NA
"RT @Aneela_Nadar: This is Tit for Tat #Lalu ishtyle !!
#ModiBhagaoNitishJeetao 
#ModiBhagaoDeshBachao 
@Iffidel @gops333 @aawara_aatma http…",FALSE,0,NA,2015-10-28 06:52:54,FALSE,NA,"659261540932055044",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Bhiku_mahtre",114,TRUE,FALSE,NA,NA
"#Lalu association may cost #Nitish CM's post in #Bihar
https://t.co/UHkQocvCd9 https://t.co/pGyt14OWAZ",FALSE,0,NA,2015-10-28 06:50:48,FALSE,NA,"659261011376152576",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","thehansindiaweb",0,FALSE,FALSE,NA,NA
"#BiharPolls : तीसरे चरण में 11 बजे तक 21 % वोटिंग
https://t.co/ns9qAbq5zV #BiharBattle #NitishKumar #lalu #Modi... https://t.co/VN71Nsvlap",FALSE,0,NA,2015-10-28 06:47:41,FALSE,NA,"659260228245004288",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","ITVNewsHindi",0,FALSE,FALSE,NA,NA
"#BiharPolls : तीसरे चरण में 11 बजे तक 21 % वोटिंग
https://t.co/TmhoZ3nAI2 #BiharBattle #NitishKumar #lalu #Modi #BJP #JDU #RJD",FALSE,0,NA,2015-10-28 06:46:45,FALSE,NA,"659259994211266560",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Inkhabar",0,FALSE,FALSE,NA,NA
"RT @Aneela_Nadar: This is Tit for Tat #Lalu ishtyle !!
#ModiBhagaoNitishJeetao 
#ModiBhagaoDeshBachao 
@Iffidel @gops333 @aawara_aatma http…",FALSE,0,NA,2015-10-28 06:35:49,FALSE,NA,"659257241309048832",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","shamuga_pillai",114,TRUE,FALSE,NA,NA
"#BiharPolls LIVE: Third Phase Of Voting Underway; #Lalu, #Nitish, #SushilModi Cast Their Vote
https://t.co/Wr8XaK88pr",FALSE,2,NA,2015-10-28 06:33:08,FALSE,NA,"659256568303620096",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","DailyhuntApp",0,FALSE,FALSE,NA,NA
"#sushilmodi ..ek wo modi h jo sb kuch bolte h aur ek modi hai jo sb kuch sunte hai #lalu",FALSE,0,NA,2015-10-28 06:30:16,FALSE,NA,"659255843137847300",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","bapu_d_kathi",0,FALSE,FALSE,NA,NA
"Curiosity killing the cat...Who in Bihar????  #SushilModi  #nitishforbihar #lalu",FALSE,0,NA,2015-10-28 06:24:03,FALSE,NA,"659254279631319042",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","afsanaahmed",0,FALSE,FALSE,NA,NA
"RT @chavhanke: आज का कार्टून ! #बिहारचुनाव @SudarshanNewsTV @narendramodi @girirajsinghbjp @yogrishiramdev #Lalu #NitishKumar https://t.co/…",FALSE,0,NA,2015-10-28 06:22:23,FALSE,NA,"659253862075752448",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","shashishekhard",25,TRUE,FALSE,NA,NA
"RT @NewsX: #Lalu, #Rabri cast their ballot @laluprasadrjd 
https://t.co/3NjuoY50WQ https://t.co/7nHMVyJTAM",FALSE,0,NA,2015-10-28 06:16:40,FALSE,NA,"659252421802246144",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","anitashuklaNBT",3,TRUE,FALSE,NA,NA
"RT @Aneela_Nadar: This is Tit for Tat #Lalu ishtyle !!
#ModiBhagaoNitishJeetao 
#ModiBhagaoDeshBachao 
@Iffidel @gops333 @aawara_aatma http…",FALSE,0,NA,2015-10-28 06:13:06,FALSE,NA,"659251524988633088",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","KanahaiyaKumar",114,TRUE,FALSE,NA,NA
"RT @chavhanke: आज का कार्टून ! #बिहारचुनाव @SudarshanNewsTV @narendramodi @girirajsinghbjp @yogrishiramdev #Lalu #NitishKumar https://t.co/…",FALSE,0,NA,2015-10-28 06:09:59,FALSE,NA,"659250742264467456",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ravindra1044",25,TRUE,FALSE,NA,NA
"RT @ITNlive: #Lalu, Rabri cast their ballot - https://t.co/Y8B1zQKmt7 https://t.co/Qn4M5VbFxD",FALSE,0,NA,2015-10-28 06:09:47,FALSE,NA,"659250691693637632",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ShashiRanjanITN",1,TRUE,FALSE,NA,NA
