"","score","text"
"86",0,"#Aajtak #abpnews #ndtv #arvindkejriwal #Lalu #RahulGandhi #AkhileshMeansDevelopment #owasi 
This pic for you... https://t.co/YMcUcDrDYN"
"87",0,"RT @EconomicTimes: #Nitish-#Lalu together sought religion-based quotas in 2005: PM #Modi https://t.co/Tb1oJgI0mI https://t.co/jPWqVOhVHD"
"88",0,"RT @EconomicTimes: #Nitish-#Lalu together sought religion-based quotas in 2005: PM #Modi https://t.co/Tb1oJgI0mI https://t.co/jPWqVOhVHD"
"89",0,"RT @EconomicTimes: #Nitish-#Lalu together sought religion-based quotas in 2005: PM #Modi https://t.co/Tb1oJgI0mI https://t.co/jPWqVOhVHD"
"90",0,"RT @EconomicTimes: #Nitish-#Lalu together sought religion-based quotas in 2005: PM #Modi https://t.co/Tb1oJgI0mI https://t.co/jPWqVOhVHD"
"91",0,"RT @EconomicTimes: #Nitish-#Lalu together sought religion-based quotas in 2005: PM #Modi https://t.co/Tb1oJgI0mI https://t.co/jPWqVOhVHD"
"92",0,"ಅಮಿತ್ ಶಾ, ರಾಹುಲ್ ಗಾಂಧಿ, ಲಾಲುಗೆ ನೋಟಿಸ್ - https://t.co/PLsJoELO5e
#amit shaw #Lalu prasad yadav Amit Shah https://t.co/mmdmIqE358"
"93",1,"@sunnykrishi and its quite evident wht so called secular grand alliance is going to do with future of bihar. With so literate son of #lalu."
"94",0,"#Lalu ji ruled for 15 years,Chhota bhai ruled for 10 years: PM #NarendraModi https://t.co/m971vpz961"
"95",-1,"To hamper progrs-unity led by @narendramodi @BJP4India @AmitShah in India ..Dumb pol come 2gdr #Sonia #Rahul #Lalu #Nitish @ArvindKejriwal"
"96",-2,"The 15 years #Lalu rule in #Bihar very similar to 21 years corrupt Murderous #comrade  rule in Bengal"
"97",-1,"@aajtak Below the belt attack, Kya baat hai #Lalu ji"
"98",0,"अमित शाह, लालू और राहुल को चुनाव आयोग का नोटिस #AmitShah #Lalu #RahulGandhi #voting @WMI_Hindi"
"99",0,"RT @hiteshmalviya51: #Lalu के दो अनमोल रतन... एक मैट्रिक फ़ेल तो एक बीए फ़ेल ������������ 
#BiharWithBJP #NamoInspiresMe #ModiRajInBihar https://t.co…"
"100",-1,"Rampant #illiteracy proof of #Lalu - #Nitish’s misdeeds in #Bihar: PM #Modi - https://t.co/6uLaNbuGjU
#BJP #RJD #JDU https://t.co/ADKb8yrVjf"
"101",-1,"#BiharPolls 2015: #Giriraj slams #Lalu, #Nitish for challenging PM #Modi for debate - https://t.co/SHwJsFPzgX https://t.co/lDoVtCLpoP"
"102",0,"Manfaat empedu domba https://t.co/UfuA51ElRj  #bawangmerah #lalu #mampu #telinga #tiga"
"103",0,"RT @EconomicTimes: #Nitish-#Lalu together sought religion-based quotas in 2005: PM #Modi https://t.co/xYpwZjXdsK"
"104",0,"RT @EconomicTimes: #Nitish-#Lalu together sought religion-based quotas in 2005: PM #Modi https://t.co/Tb1oJgI0mI https://t.co/jPWqVOhVHD"
"105",0,"RT @caknawa: Satu Ilmu Jangan Pada Ganggu Yah ..?

Kenapa Pada Sewot Sih, Kalian Semua Kan Juga Suka Narsis Dan Selfi #Lalu... https://t.co…"
"106",0,"Satu Ilmu Jangan Pada Ganggu Yah ..?

Kenapa Pada Sewot Sih, Kalian Semua Kan Juga Suka Narsis Dan Selfi #Lalu... https://t.co/OBiehMhkQC"
"107",0,"RT @EconomicTimes: #Nitish-#Lalu together sought religion-based quotas in 2005: PM #Modi https://t.co/Tb1oJgI0mI https://t.co/jPWqVOhVHD"
"108",0,"Jawab dedengey :#Lalu Prasad Yadav on #EC notice to him for violating #MCC #BiharPolls 
@laluprasadrjd #RJD https://t.co/l8tmMVVA0F"
"109",0,"RT @thatsTamil: மோடி மனக்குருடு, ஊமை, செவிடு: லாலுவின் மகன் கடும் சாடல்  https://t.co/mJWak2zRDK #Lalu"
"110",0,"#Nitish-#Lalu together sought religion-based quotas in 2005: PM #Modi … https://t.co/1WTiNxhyR3 https://t.co/XwfotooaRh"
"111",0,"RT @EconomicTimes: #Nitish-#Lalu together sought religion-based quotas in 2005: PM #Modi https://t.co/Tb1oJgI0mI https://t.co/jPWqVOhVHD"
"112",0,"மோடி மனக்குருடு, ஊமை, செவிடு: லாலுவின் மகன் கடும் சாடல்  https://t.co/mJWak2zRDK #Lalu"
"113",0,"Iya kali ya om... Kira2 sejak kpn ya om mereka jadian. #Lalu ngajakin om ijo berhosip  https://t.co/80rAL3Z3xb"
"114",0,"RT @EconomicTimes: #Nitish-#Lalu together sought religion-based quotas in 2005: PM #Modi https://t.co/Tb1oJgI0mI https://t.co/jPWqVOhVHD"
"115",0,"RT @EconomicTimes: #Nitish-#Lalu together sought religion-based quotas in 2005: PM #Modi https://t.co/Tb1oJgI0mI https://t.co/jPWqVOhVHD"
"116",0,"RT @EconomicTimes: #Nitish-#Lalu together sought religion-based quotas in 2005: PM #Modi https://t.co/Tb1oJgI0mI https://t.co/jPWqVOhVHD"
"117",0,"RT @EconomicTimes: #Nitish-#Lalu together sought religion-based quotas in 2005: PM #Modi https://t.co/Tb1oJgI0mI https://t.co/jPWqVOhVHD"
"118",0,"RT @EconomicTimes: #Nitish-#Lalu together sought religion-based quotas in 2005: PM #Modi https://t.co/Tb1oJgI0mI https://t.co/jPWqVOhVHD"
